food,la_cal,cal,percent,category
"Doughnuts, cake-type, chocolate, sugared or glazed",21.087,417.0,5.1,High LA
"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, pan",10.8,211.0,5.1,High LA
"Soup, vegetable chicken, canned, prepared with water, low sodium",3.492,69.0,5.1,High LA
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, p",9.981,196.0,5.1,High LA
"Babyfood, dinner, vegetables chicken, strained",3.006,59.0,5.1,High LA
"Chicken, broilers or fryers, dark meat, drumstick, meat only, raw",5.958,116.0,5.1,High LA
"Rolls, hamburger or hotdog, plain",14.364,279.0,5.1,High LA
"Cake, white, prepared from recipe with coconut frosting",18.234,356.0,5.1,High LA
"Restaurant, Chinese, fried rice, without meat",8.901,174.0,5.1,High LA
"Soup, chicken gumbo, canned, prepared with equal volume water",1.17,23.0,5.1,High LA
"Peppers, hot chili, red, raw",2.052,40.0,5.1,High LA
"Cream substitute, liquid, light",3.591,71.0,5.1,High LA
"Ice cream bar, stick or nugget, with crunch coating",18.108,358.0,5.1,High LA
"Ice cream bar, covered with chocolate and nuts",15.489,303.0,5.1,High LA
"Candies, milk chocolate, with almonds",26.433,526.0,5.0,High LA
"Rolls, hard (includes kaiser)",14.589,293.0,5.0,High LA
"Cookies, sugar, refrigerated dough, baked",24.579,489.0,5.0,High LA
"Pork, fresh, variety meats and by-products, feet, cooked, simmered",11.871,238.0,5.0,High LA
"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",13.68,273.0,5.0,High LA
"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and",6.462,129.0,5.0,High LA
"Candies, TOBLERONE, milk chocolate with honey and almond nougat",26.145,525.0,5.0,High LA
"Pork, fresh, ground, cooked",14.76,297.0,5.0,High LA
"Corn, sweet, white, canned, whole kernel, drained solids",3.573,71.0,5.0,High LA
"Turkey, whole, meat only, cooked, roasted",7.893,159.0,5.0,High LA
"Lamb, domestic, composite of trimmed retail cuts, separable fat, trimmed to 1/4""",29.34,586.0,5.0,High LA
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, regular crust",13.167,266.0,5.0,High LA
"Pork, fresh, loin, whole, separable lean and fat, raw",9.99,198.0,5.0,High LA
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and sparerib",11.925,238.0,5.0,High LA
"Crackers, wheat, low salt",23.877,473.0,5.0,High LA
"Corn, sweet, yellow, raw",4.248,86.0,4.9,High LA
"Cake, pudding-type, chocolate, dry mix",19.035,391.0,4.9,High LA
"Veal, leg (top round), separable lean only, cooked, pan-fried, breaded",10.53,216.0,4.9,High LA
"Pork, cured, ham, boneless, extra lean and regular, roasted",8.1,165.0,4.9,High LA
"Beverages, coffee, brewed, prepared with tap water, decaffeinated",0.018,0.0,,Low LA
"Beverages, POWERADE, Zero, Mixed Berry",0.0,0.0,,Low LA
"Salt, table",0.0,0.0,,Low LA
"Sweetener, herbal extract powder from Stevia leaf",0.0,0.0,,Low LA
"Beverages, carbonated, club soda",0.0,0.0,,Low LA
"Beverages, tea, hibiscus, brewed",0.0,0.0,,Low LA
"Beverages, water, tap, municipal",0.0,0.0,,Low LA
"Leavening agents, baking soda",0.0,0.0,,Low LA
"Beverages, tea, green, brewed, decaffeinated",0.0,0.0,,Low LA
"Beverages, The COCA-COLA company, Glaceau Vitamin Water, Revive Fruit Punch, for",0.0,0.0,,Low LA
"Water, bottled, generic",0.0,0.0,,Low LA
"Beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners",0.0,20.0,0.0,Low LA
"Babyfood, grape juice, no sugar, canned",0.0,62.0,0.0,Low LA
"Beverages, tea, instant, unsweetened, prepared with water",0.0,1.0,0.0,Low LA
"Yogurt, chocolate, nonfat milk, fortified with vitamin D",0.0,112.0,0.0,Low LA
Jams and preserves,0.0,278.0,0.0,Low LA
"Alcoholic beverage, distilled, rum, 80 proof",0.0,231.0,0.0,Low LA
"Seaweed, irishmoss, raw",0.018,49.0,0.0,Low LA
"Sugars, granulated",0.0,387.0,0.0,Low LA
"Sweeteners, tabletop, saccharin (sodium saccharin)",0.0,360.0,0.0,Low LA
"Gelatins, dry powder, unsweetened",0.0,335.0,0.0,Low LA
"Pie fillings, apple, canned",0.0,100.0,0.0,Low LA
"Mollusks, squid, mixed species, raw",0.018,92.0,0.0,Low LA
"Beverages, carbonated, lemon-lime soda, no caffeine",0.0,41.0,0.0,Low LA
"Babyfood, GERBER, Banana with orange medley",0.0,86.0,0.0,Low LA
"Yogurt, chocolate, nonfat milk",0.0,112.0,0.0,Low LA
"Alcoholic beverage, distilled, gin, 90 proof",0.0,263.0,0.0,Low LA
"Seaweed, agar, raw",0.0,26.0,0.0,Low LA
"Sugars, brown",0.0,380.0,0.0,Low LA
"Sweeteners, tabletop, fructose, liquid",0.0,279.0,0.0,Low LA
"Syrups, table blends, pancake",0.0,234.0,0.0,Low LA
"Gelatin desserts, dry mix, prepared with water",0.0,62.0,0.0,Low LA
Candied fruit,0.117,322.0,0.0,Low LA
"Babyfood, fruit, bananas and pineapple with tapioca, strained",0.0,65.0,0.0,Low LA
"Beverages, carbonated, ginger ale",0.0,34.0,0.0,Low LA
"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",0.0,53.0,0.0,Low LA
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",0.0,263.0,0.0,Low LA
"Seaweed, agar, dried",0.036,306.0,0.0,Low LA
"Sweeteners, tabletop, fructose, dry, powder",0.0,368.0,0.0,Low LA
"Gelatin desserts, dry mix",0.0,381.0,0.0,Low LA
"Beverages, carbonated, cola, without caffeine",0.0,41.0,0.0,Low LA
"Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic",0.0,64.0,0.0,Low LA
"Carbonated beverage, cream soda",0.0,51.0,0.0,Low LA
"Beverages, OVALTINE, Classic Malt powder",0.0,372.0,0.0,Low LA
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",0.0,250.0,0.0,Low LA
"Fluid replacement, electrolyte solution (include PEDIALYTE)",0.0,10.0,0.0,Low LA
"Pectin, liquid",0.0,11.0,0.0,Low LA
"Sweeteners, tabletop, aspartame, EQUAL, packets",0.0,365.0,0.0,Low LA
"Syrups, sugar free",0.0,52.0,0.0,Low LA
"Candies, fruit snacks, with high vitamin C",0.0,352.0,0.0,Low LA
Chocolate-flavored hazelnut spread,0.0,541.0,0.0,Low LA
"Beverages, carbonated, cola, regular",0.0,42.0,0.0,Low LA
"Carbonated beverage, chocolate-flavored soda",0.0,42.0,0.0,Low LA
"Beverages, OVALTINE, chocolate malt powder",0.0,372.0,0.0,Low LA
"Beverages, tea, instant, lemon, diet",0.0,2.0,0.0,Low LA
"Cheese, cheddar, nonfat or fat free",0.0,157.0,0.0,Low LA
Yeast extract spread,0.0,185.0,0.0,Low LA
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",0.0,231.0,0.0,Low LA
"Alcoholic beverages, wine, rose",0.0,83.0,0.0,Low LA
"Cheese, Swiss, nonfat or fat free",0.0,127.0,0.0,Low LA
"Strawberry-flavor beverage mix, powder",0.0,389.0,0.0,Low LA
"Sweetener, syrup, agave",0.0,310.0,0.0,Low LA
"Syrups, sorghum",0.0,290.0,0.0,Low LA
"CAMPBELL'S, HEALTHY REQUEST, chicken with rice, condensed",0.0,46.0,0.0,Low LA
"Candies, fondant, prepared-from-recipe",0.0,373.0,0.0,Low LA
"Babyfood, fruit, apricot with tapioca, strained",0.0,60.0,0.0,Low LA
"Beverages, carbonated, cola, fast-food cola",0.0,37.0,0.0,Low LA
"Beverages, Orange juice, light, No pulp",0.0,21.0,0.0,Low LA
"Beverages, tea, instant, decaffeinated, unsweetened",0.0,315.0,0.0,Low LA
"Vinegar, distilled",0.0,18.0,0.0,Low LA
"Alcoholic beverages, beer, higher alcohol",0.0,58.0,0.0,Low LA
Fruit syrup,0.0,341.0,0.0,Low LA
Honey,0.0,304.0,0.0,Low LA
"Babyfood, fruit, apricot with tapioca, junior",0.0,63.0,0.0,Low LA
"Beverages, tea, instant, decaffeinated, lemon, diet",0.0,338.0,0.0,Low LA
"Vinegar, cider",0.0,21.0,0.0,Low LA
"Beverages, Wine, non-alcoholic",0.0,6.0,0.0,Low LA
"Alcoholic beverage, beer, regular, all",0.0,43.0,0.0,Low LA
"Alcoholic beverage, wine, table, white",0.0,82.0,0.0,Low LA
"Syrups, grenadine",0.0,268.0,0.0,Low LA
"Tapioca, pearl, dry",0.018,358.0,0.0,Low LA
"Puddings, vanilla, dry mix, instant",0.081,377.0,0.0,Low LA
"Marmalade, orange",0.0,246.0,0.0,Low LA
"Beef, variety meats and by-products, liver, cooked, pan-fried",0.0,175.0,0.0,Low LA
"Beverages, AMBER, hard cider",0.0,56.0,0.0,Low LA
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",0.0,71.0,0.0,Low LA
"Candies, nougat, with almonds",0.0,398.0,0.0,Low LA
"Beverages, MINUTE MAID, Lemonada, Limeade",0.0,50.0,0.0,Low LA
"Chayote, fruit, cooked, boiled, drained, without salt",0.0,24.0,0.0,Low LA
"Alcoholic beverage, beer, light, low carb",0.0,27.0,0.0,Low LA
"Sauce, worcestershire",0.0,78.0,0.0,Low LA
"Alcoholic beverage, wine, table, red",0.0,85.0,0.0,Low LA
"Frozen novelties, juice type, orange",0.0,95.0,0.0,Low LA
"Syrups, corn, light",0.0,283.0,0.0,Low LA
"Egg, white, raw, fresh",0.0,52.0,0.0,Low LA
"Puddings, coconut cream, dry mix, regular",0.0,434.0,0.0,Low LA
"Babyfood, dinner, mixed vegetable, junior",0.0,34.0,0.0,Low LA
"Beef, variety meats and by-products, liver, cooked, braised",0.0,191.0,0.0,Low LA
"Babyfood, fruit, applesauce, junior",0.0,37.0,0.0,Low LA
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",0.0,74.0,0.0,Low LA
"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",0.0,31.0,0.0,Low LA
"Babyfood, juice, apple and plum",0.0,49.0,0.0,Low LA
"Beverages, Malt liquor beverage",0.0,40.0,0.0,Low LA
"Beverages, tea, herb, other than chamomile, brewed",0.0,1.0,0.0,Low LA
"Salad dressing, caesar, fat-free",0.063,131.0,0.0,Low LA
"Beverages, Whey protein powder isolate",0.162,359.0,0.0,Low LA
"Alcoholic beverage, beer, light, higher alcohol",0.0,46.0,0.0,Low LA
"Jerusalem-artichokes, raw",0.009,73.0,0.0,Low LA
"Alcoholic beverage, wine, table, all",0.0,83.0,0.0,Low LA
"Frankfurter, beef, pork, and turkey, fat free",0.0,109.0,0.0,Low LA
"Frozen novelties, juice type, juice with cream",0.0,115.0,0.0,Low LA
"Leavening agents, yeast, baker's, compressed",0.036,105.0,0.0,Low LA
"Syrups, corn, high-fructose",0.0,281.0,0.0,Low LA
"Egg, white, dried, powder, stabilized, glucose reduced",0.0,376.0,0.0,Low LA
"Puddings, coconut cream, dry mix, instant",0.0,415.0,0.0,Low LA
"Plums, canned, purple, water pack, solids and liquids",0.018,41.0,0.0,Low LA
"Candies, jellybeans",0.0,375.0,0.0,Low LA
"Noodles, chinese, cellophane or long rice (mung beans), dehydrated",0.153,351.0,0.0,Low LA
"Alcoholic beverage, beer, light",0.0,29.0,0.0,Low LA
"Jellies, reduced sugar, home preserved",0.054,179.0,0.0,Low LA
"Sauce, teriyaki, ready-to-serve, reduced sodium",0.0,89.0,0.0,Low LA
"Alcoholic beverage, wine, light",0.0,49.0,0.0,Low LA
"Leavening agents, yeast, baker's, active dry",0.153,325.0,0.0,Low LA
"Syrups, corn, dark",0.0,286.0,0.0,Low LA
"Babyfood, dessert, peach yogurt",0.036,76.0,0.0,Low LA
"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits",0.0,408.0,0.0,Low LA
"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",0.054,287.0,0.0,Low LA
"Candies, Tamarind",0.0,368.0,0.0,Low LA
"Vanilla extract, imitation, no alcohol",0.0,56.0,0.0,Low LA
"Beverages, tea, green, instant, decaffeinated, lemon, unsweetened, fortified wit",0.0,378.0,0.0,Low LA
"Cheese, American, nonfat or fat free",0.0,126.0,0.0,Low LA
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",0.027,72.0,0.0,Low LA
"Jellies, no sugar (with sodium saccharin), any flavors",0.0,121.0,0.0,Low LA
"Sauce, teriyaki, ready-to-serve",0.0,89.0,0.0,Low LA
"Alcoholic beverage, wine, dessert, sweet",0.0,160.0,0.0,Low LA
"Spinach, frozen, chopped or leaf, unprepared",0.0,29.0,0.0,Low LA
"Frozen novelties, ice type, lime",0.0,128.0,0.0,Low LA
"Leavening agents, cream of tartar",0.0,258.0,0.0,Low LA
"Babyfood, dessert, peach cobbler, strained",0.0,65.0,0.0,Low LA
"Babyfood, fruit, applesauce and cherries, strained",0.0,51.0,0.0,Low LA
"Mollusks, clam, mixed species, canned, liquid",0.0,2.0,0.0,Low LA
"Beverages, tea, green, brewed, regular",0.0,1.0,0.0,Low LA
Jellies,0.027,266.0,0.0,Low LA
"Yogurt, vanilla, non-fat",0.0,78.0,0.0,Low LA
"Alcoholic beverage, wine, cooking",0.0,50.0,0.0,Low LA
"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",0.0,34.0,0.0,Low LA
"Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup",0.0,153.0,0.0,Low LA
"Babyfood, dessert, peach cobbler, junior",0.0,67.0,0.0,Low LA
"Babyfood, fruit, applesauce and cherries, junior",0.0,51.0,0.0,Low LA
"Candies, MARS SNACKFOOD US, SKITTLES Original Bite Size Candies",0.0,405.0,0.0,Low LA
"Ice creams, vanilla, fat free",0.0,138.0,0.0,Low LA
"Beverages, The COCA-COLA company, Minute Maid, Lemonade",0.0,46.0,0.0,Low LA
"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",0.0,64.0,0.0,Low LA
"Sour cream, fat free",0.0,74.0,0.0,Low LA
"Sauce, fish, ready-to-serve",0.0,35.0,0.0,Low LA
"Jams, preserves, marmalades, sweetened with fruit juice",0.0,212.0,0.0,Low LA
"Sauce, sweet and sour, ready-to-serve",0.0,150.0,0.0,Low LA
"Alcoholic beverage, rice (sake)",0.0,134.0,0.0,Low LA
"Soup, chicken broth, less/reduced sodium, ready to serve",0.0,7.0,0.0,Low LA
"Beverages, carbonated, tonic water",0.0,34.0,0.0,Low LA
"Beverages, coffee, instant, vanilla, sweetened, decaffeinated, with non dairy cr",0.0,465.0,0.0,Low LA
"Beverages, The COCA-COLA company, Hi-C Flashin' Fruit Punch",0.0,45.0,0.0,Low LA
"Babyfood, tropical fruit medley",0.0,51.0,0.0,Low LA
"Sauce, steak, tomato based",0.0,95.0,0.0,Low LA
"Alcoholic beverage, malt beer, hard lemonade",0.0,68.0,0.0,Low LA
"Bread, wheat, sprouted, toasted",0.0,205.0,0.0,Low LA
"Leavening agents, baking powder, double-acting, straight phosphate",0.0,51.0,0.0,Low LA
"Syrup, NESTLE, chocolate",0.0,269.0,0.0,Low LA
"Egg substitute, liquid or frozen, fat free",0.0,48.0,0.0,Low LA
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",0.0,59.0,0.0,Low LA
"Toppings, butterscotch or caramel",0.0,216.0,0.0,Low LA
"Candies, hard",0.0,394.0,0.0,Low LA
"Beverages, carbonated, SPRITE, lemon-lime, without caffeine",0.0,40.0,0.0,Low LA
"Babyfood, juice treats, fruit medley, toddler",0.0,347.0,0.0,Low LA
"Whey, acid, dried",0.162,339.0,0.0,Low LA
"Sauce, salsa, verde, ready-to-serve",0.0,38.0,0.0,Low LA
"Cheese, mozzarella, nonfat",0.0,141.0,0.0,Low LA
"Bread, potato",0.0,266.0,0.0,Low LA
"Bread, wheat, sprouted",0.0,188.0,0.0,Low LA
"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",0.0,53.0,0.0,Low LA
"Sugars, powdered",0.0,389.0,0.0,Low LA
"Syrup, fruit flavored",0.0,261.0,0.0,Low LA
"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",0.0,63.0,0.0,Low LA
"Candies, gumdrops, starch jelly pieces",0.0,396.0,0.0,Low LA
"Beverages, carbonated, root beer",0.0,41.0,0.0,Low LA
"Babyfood, juice, pear",0.0,47.0,0.0,Low LA
"Beverages, tea, Oolong, brewed",0.0,1.0,0.0,Low LA
"Salad dressing, sweet and sour",0.0,15.0,0.0,Low LA
"Bagels, whole grain white",0.0,255.0,0.0,Low LA
"Sauce, cocktail, ready-to-serve",0.0,124.0,0.0,Low LA
"Jams and preserves, apricot",0.0,242.0,0.0,Low LA
"Sweeteners, tabletop, sucralose, SPLENDA packets",0.0,336.0,0.0,Low LA
"Syrups, table blends, pancake, with butter",0.0,291.0,0.0,Low LA
"Pie fillings, blueberry, canned",0.0,181.0,0.0,Low LA
"English muffins, whole grain white",0.0,245.0,0.0,Low LA
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, jui",0.036,46.0,0.1,Low LA
"Beverages, tea, instant, unsweetened, powder",0.36,315.0,0.1,Low LA
"Yogurt, Greek, vanilla, nonfat",0.081,78.0,0.1,Low LA
"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",0.135,91.0,0.1,Low LA
"Cheese, pasteurized process, cheddar or American, fat-free",0.144,148.0,0.1,Low LA
"Syrups, table blends, cane and 15% maple",0.414,278.0,0.1,Low LA
"Pumpkin flowers, cooked, boiled, drained, without salt",0.018,15.0,0.1,Low LA
"Guava nectar, with sucralose, canned",0.027,48.0,0.1,Low LA
"Mollusks, scallop, mixed species, raw",0.072,69.0,0.1,Low LA
"Papaya nectar, canned",0.063,57.0,0.1,Low LA
"Yogurt, Greek, strawberry, nonfat",0.09,82.0,0.1,Low LA
"Cranberry sauce, canned, sweetened",0.171,159.0,0.1,Low LA
"Pears, canned, light syrup pack, solids and liquids",0.063,57.0,0.1,Low LA
"Babyfood, fruit dessert, mango with tapioca",0.072,70.0,0.1,Low LA
"Mollusks, scallop, (bay and sea), cooked, steamed",0.126,111.0,0.1,Low LA
"Nuts, coconut water (liquid from coconuts)",0.018,19.0,0.1,Low LA
"Fish, cod, Atlantic, raw",0.045,82.0,0.1,Low LA
"Fish, cod, Atlantic, dried and salted",0.162,290.0,0.1,Low LA
"Alcoholic beverage, creme de menthe, 72 proof",0.522,371.0,0.1,Low LA
"Apricots, canned, light syrup pack, with skin, solids and liquids",0.09,63.0,0.1,Low LA
"Crustaceans, shrimp, mixed species, canned",0.135,100.0,0.1,Low LA
"Syrups, maple",0.153,260.0,0.1,Low LA
"Raisins, seedless",0.252,299.0,0.1,Low LA
"Milk, fluid, nonfat, calcium fortified (fat free or skim)",0.045,35.0,0.1,Low LA
"Candies, marshmallows",0.405,318.0,0.1,Low LA
"Fish, cod, Atlantic, cooked, dry heat",0.054,105.0,0.1,Low LA
"Apricots, canned, juice pack, with skin, solids and liquids",0.063,48.0,0.1,Low LA
"Mollusks, octopus, common, raw",0.081,82.0,0.1,Low LA
"Vermicelli, made from soy",0.342,331.0,0.1,Low LA
"Beverages, Whiskey sour mix, bottled",0.117,87.0,0.1,Low LA
"Fish, cod, Atlantic, canned, solids and liquid",0.054,105.0,0.1,Low LA
"Sweet potato, raw, unprepared",0.117,86.0,0.1,Low LA
"Mollusks, octopus, common, cooked, moist heat",0.162,164.0,0.1,Low LA
"Dates, deglet noor",0.144,282.0,0.1,Low LA
"Fish, tuna, light, canned in water, drained solids",0.126,86.0,0.1,Low LA
"Lotus root, cooked, boiled, drained, without salt",0.09,66.0,0.1,Low LA
"Tangerines, (mandarin oranges), canned, juice pack, drained",0.045,38.0,0.1,Low LA
"Toppings, strawberry",0.261,254.0,0.1,Low LA
"Butter replacement, without fat, powder",0.351,373.0,0.1,Low LA
"Tangerines, (mandarin oranges), canned, juice pack",0.036,37.0,0.1,Low LA
"Plums, canned, purple, juice pack, solids and liquids",0.045,58.0,0.1,Low LA
"Beverage, milkshake mix, dry, not chocolate",0.459,329.0,0.1,Low LA
"Beverages, chocolate syrup",0.216,279.0,0.1,Low LA
Cornstarch,0.225,381.0,0.1,Low LA
"Fish, haddock, smoked",0.108,116.0,0.1,Low LA
"Rice, white, long-grain, precooked or instant, enriched, prepared",0.153,124.0,0.1,Low LA
"Fish, pollock, Alaska, cooked, dry heat (may have been previously frozen)",0.099,111.0,0.1,Low LA
"Crustaceans, crab, alaska king, imitation, made from surimi",0.108,95.0,0.1,Low LA
"Prune juice, canned",0.063,71.0,0.1,Low LA
"Toppings, marshmallow cream",0.405,322.0,0.1,Low LA
"Mollusks, abalone, mixed species, raw",0.063,105.0,0.1,Low LA
"Whey, sweet, dried",0.225,353.0,0.1,Low LA
"Yogurt, fruit variety, nonfat, fortified with vitamin D",0.09,95.0,0.1,Low LA
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",0.198,136.0,0.1,Low LA
"Cherries, sweet, canned, juice pack, solids and liquids",0.027,54.0,0.1,Low LA
"Potatoes, baked, skin, without salt",0.288,198.0,0.1,Low LA
"Mango nectar, canned",0.027,51.0,0.1,Low LA
"Fish, perch, mixed species, raw",0.099,91.0,0.1,Low LA
"Sauce, duck, ready-to-serve",0.207,245.0,0.1,Low LA
"Yogurt, fruit variety, nonfat",0.09,95.0,0.1,Low LA
"Seaweed, laver, raw",0.036,35.0,0.1,Low LA
"Pumpkin, raw",0.018,26.0,0.1,Low LA
"Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS",0.045,31.0,0.1,Low LA
"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",0.036,56.0,0.1,Low LA
"Babyfood, dessert, dutch apple, strained",0.063,75.0,0.1,Low LA
"Pumpkin, cooked, boiled, drained, without salt",0.018,20.0,0.1,Low LA
"Syrups, table blends, pancake, with 2% maple",0.45,265.0,0.2,Low LA
"Pumpkin, canned, without salt",0.063,34.0,0.2,Low LA
"Rhubarb, frozen, cooked, with sugar",0.225,116.0,0.2,Low LA
"Beverages, coffee, instant, decaffeinated, powder",0.837,351.0,0.2,Low LA
"Spices, cinnamon, ground",0.396,247.0,0.2,Low LA
"Babyfood, banana juice with low fat yogurt",0.135,89.0,0.2,Low LA
"Lemonade, frozen concentrate, white",0.378,196.0,0.2,Low LA
"Pumpkin leaves, cooked, boiled, drained, without salt",0.045,21.0,0.2,Low LA
"Mollusks, snail, raw",0.153,90.0,0.2,Low LA
"Beverages, tea, instant, lemon, unsweetened",0.711,345.0,0.2,Low LA
"Fish, cod, Pacific, raw (may have been previously frozen)",0.153,69.0,0.2,Low LA
"Papayas, raw",0.099,43.0,0.2,Low LA
"Pears, canned, water pack, solids and liquids",0.063,29.0,0.2,Low LA
"Cucumber, peeled, raw",0.018,12.0,0.2,Low LA
"Taro, cooked, without salt",0.288,142.0,0.2,Low LA
"Babyfood, fruit, bananas and pineapple with tapioca, junior",0.108,68.0,0.2,Low LA
"Rice noodles, cooked",0.171,108.0,0.2,Low LA
"Fish, cod, Pacific, cooked, dry heat (may have been previously frozen)",0.189,85.0,0.2,Low LA
"Fish, whiting, mixed species, raw",0.18,90.0,0.2,Low LA
"Potatoes, mashed, dehydrated, flakes without milk, dry form",0.837,354.0,0.2,Low LA
"Mungo beans, mature seeds, cooked, boiled, without salt",0.216,105.0,0.2,Low LA
"Fish, snapper, mixed species, raw",0.171,100.0,0.2,Low LA
"Fish, whiting, mixed species, cooked, dry heat",0.18,116.0,0.2,Low LA
"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",0.189,107.0,0.2,Low LA
"Babyfood, dessert, blueberry yogurt, strained",0.117,77.0,0.2,Low LA
"Yogurt, Greek, plain, nonfat",0.09,59.0,0.2,Low LA
"Babyfood, dessert, banana yogurt, strained",0.189,78.0,0.2,Low LA
"Fish, roe, mixed species, raw",0.261,143.0,0.2,Low LA
"Apricots, canned, heavy syrup, drained",0.189,83.0,0.2,Low LA
"Babyfood, apple-cranberry juice",0.09,46.0,0.2,Low LA
"Plums, dried (prunes), uncooked",0.396,240.0,0.2,Low LA
"Fish, sea bass, mixed species, raw",0.216,97.0,0.2,Low LA
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",0.135,83.0,0.2,Low LA
"Cherries, sweet, frozen, sweetened",0.18,89.0,0.2,Low LA
"Tangerines, (mandarin oranges), canned, light syrup pack",0.135,61.0,0.2,Low LA
"Pineapple, frozen, chunks, sweetened",0.18,86.0,0.2,Low LA
"Mollusks, mussel, blue, raw",0.162,86.0,0.2,Low LA
"Beverages, Cocoa mix, powder",0.963,398.0,0.2,Low LA
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",0.207,99.0,0.2,Low LA
"Frozen novelties, ice type, pop",0.135,79.0,0.2,Low LA
"Drumstick leaves, cooked, boiled, drained, without salt",0.135,60.0,0.2,Low LA
"Candies, coconut bar, not chocolate covered",0.756,481.0,0.2,Low LA
"Cassava, raw",0.288,160.0,0.2,Low LA
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce",0.207,99.0,0.2,Low LA
"Crustaceans, crab, blue, cooked, moist heat",0.18,83.0,0.2,Low LA
"Maraschino cherries, canned, drained",0.252,165.0,0.2,Low LA
"Puddings, chocolate, dry mix, regular",0.711,362.0,0.2,Low LA
"Toppings, pineapple",0.45,253.0,0.2,Low LA
"Sour cream, imitation, cultured",0.504,208.0,0.2,Low LA
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",0.198,102.0,0.2,Low LA
"Fish, tuna, fresh, yellowfin, raw",0.171,109.0,0.2,Low LA
"Crustaceans, crab, blue, canned",0.18,83.0,0.2,Low LA
"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",0.207,83.0,0.2,Low LA
"Plums, canned, purple, heavy syrup pack, solids and liquids",0.198,89.0,0.2,Low LA
"Beef, variety meats and by-products, brain, cooked, simmered",0.351,151.0,0.2,Low LA
"Fish, haddock, raw",0.135,74.0,0.2,Low LA
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",0.198,102.0,0.2,Low LA
"Seaweed, wakame, raw",0.09,45.0,0.2,Low LA
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",0.135,56.0,0.2,Low LA
"Babyfood, cherry cobbler, junior",0.126,78.0,0.2,Low LA
"Mango, dried, sweetened",0.549,319.0,0.2,Low LA
"Milk dessert, frozen, milk-fat free, chocolate",0.252,167.0,0.2,Low LA
"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",0.18,74.0,0.2,Low LA
"Jams, preserves, marmalade, reduced sugar",0.261,151.0,0.2,Low LA
"Frozen novelties, fruit and juice bars",0.198,87.0,0.2,Low LA
"Tamarinds, raw",0.531,239.0,0.2,Low LA
"Babyfood, mixed fruit yogurt, strained",0.135,75.0,0.2,Low LA
"Frog legs, raw",0.18,73.0,0.2,Low LA
"Plantains, cooked",0.189,116.0,0.2,Low LA
Molasses,0.45,290.0,0.2,Low LA
"Babyfood, fruit, bananas with tapioca, strained",0.108,56.0,0.2,Low LA
"Candies, MOUNDS Candy Bar",1.062,486.0,0.2,Low LA
"Babyfood, mixed fruit juice with low fat yogurt",0.135,76.0,0.2,Low LA
"Babyfood, fruit, bananas with tapioca, junior",0.216,67.0,0.3,Low LA
"Babyfood, snack, GERBER GRADUATE YOGURT MELTS",1.251,429.0,0.3,Low LA
"Orange juice, frozen concentrate, unsweetened, undiluted",0.414,148.0,0.3,Low LA
"Babyfood, banana no tapioca, strained",0.252,91.0,0.3,Low LA
"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",0.207,76.0,0.3,Low LA
